proj_id,res_id,grade,date
426,116,98,7/14/2019
427,277,26,5/26/2021
428,930,42,4/15/2021
429,696,59,4/20/2019
430,553,8,4/2/2021
431,33,41,10/27/2021
432,220,86,10/11/2020
433,256,90,12/24/2020
434,288,32,8/25/2020
435,286,83,4/27/2022
436,74,45,7/4/2021
437,206,93,11/6/2019
438,475,2,8/1/2019
439,13,33,1/17/2021
440,786,23,3/31/2020
441,532,92,6/12/2021
442,168,3,12/20/2020
443,965,95,4/28/2022
444,84,90,8/16/2021
445,64,63,10/18/2019
446,497,39,11/13/2019
447,979,29,1/30/2019
448,244,32,1/5/2021
449,770,17,3/15/2019
450,727,8,1/8/2021
451,229,37,10/28/2018
452,181,60,6/8/2019
453,124,93,6/19/2021
454,431,87,1/18/2019
455,221,74,5/18/2019
456,115,26,6/8/2019
457,605,69,12/19/2019
458,795,62,11/21/2018
459,103,75,11/28/2019
460,922,20,10/4/2020
461,684,73,2/27/2020
462,631,5,6/25/2019
463,732,39,5/8/2020
464,450,61,2/3/2022
465,10,75,12/30/2021
466,659,68,6/1/2020
467,964,86,12/23/2020
468,170,90,11/25/2018
469,483,58,2/11/2019
470,393,4,9/30/2021
471,420,55,4/16/2021
472,562,10,8/6/2020
473,138,90,5/26/2019
474,341,35,12/14/2020
475,253,24,9/9/2020
476,713,63,2/18/2019
477,957,77,3/4/2020
478,682,93,11/29/2020
479,291,51,11/30/2018
480,872,62,7/18/2019
481,126,96,10/30/2019
482,775,58,3/16/2022
483,176,56,3/24/2019
484,91,24,1/3/2020
485,494,2,11/13/2021
486,482,20,2/25/2022
487,593,10,2/28/2020
488,15,22,8/1/2021
489,239,96,2/18/2020
490,610,49,12/9/2019
491,859,6,9/14/2020
492,39,31,8/19/2021
493,807,1,6/3/2019
494,929,70,10/11/2019
495,25,88,8/6/2019
496,128,69,6/20/2021
497,386,26,9/24/2018
498,680,37,1/16/2022
499,517,93,3/4/2020
500,203,20,5/22/2019
